id,Kanji,Strokes,Grade,"Kanji Classification",JLPT-test,"Name of Radical","Reading within Joyo","Reading beyond Joyo","# of On","On within Joyo","Kanji ID in Nelson","# of Meanings of On","Translation of On","# of Kun within Joyo with inflections","# of Kun within Joyo without inflections","Kun within Joyo","# of Meanings of Kun","Translation of Kun","Year of Inclusion"
623,校,10,1,"形声 Phonetic",4,"Ki, Kihen",コウ,ギョウ,1,koo,2669,5,"school; (printing) proof; comparison; correction; investigation",0,0,-,0,-,1981
624,耕,10,5,"形声 Phonetic",2,Sukihen,コウ、たがや-す,,1,koo,4710,2,"plow, cultivate",1,1,tagaya(su),2,"plow, cultivate",1981
625,航,10,4,"形声 Phonetic",2,"Fune, Funehen",コウ,,1,koo,4934,2,"navigation; cross over",0,0,-,0,-,1981
626,貢,10,7,"形声 Phonetic",1,"Kai, Kaihen",コウ、[ク]、みつ-ぐ,,2,"koo, [ku]",5772,1,tribute,1,1,mitsu(gu),2,"support, finance",1981
627,降,10,6,"会意 Com. Ideographic",2,Kozatohen,コウ、お-りる、お-ろす、ふ-る,くだ,1,koo,6450,2,"going down; surrender",3,2,"o(riru), o(rosu), fu(ru)",24,"fall, drop, come down (rain, etc.). come down, go down, step down, descend; get off; land. take down, lower, pull down, lift down, let down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock",1981
628,高,10,2,"会意 Com. Ideographic",4,Takai,コウ、たか-い、たか、たか-まる、たか-める,,1,koo,6796,1,high,4,1,"taka(i), taka, taka(maru), taka(meru)",32,"high, tall, lofty, raised, elevated, eminent; exalted, noble; loud, stentorian; expensive; widely known. quantity, volume, amount, sum; rise (in prices); fief. rise; swell; be elevated, be promoted; increase. raise, lift, promote, elevate; improve, enhance; ennoble; heighten; boost ",1981
629,康,11,4,"会意 Com. Ideographic",1,Madare,コウ,やす,1,koo,1621,1,peace,0,0,-,0,-,1981
630,控,11,7,"形声 Phonetic",1,Tehen,コウ、ひか-える,,1,koo,2202,10,"draw in; hold back, suspend (judgment); refrain from; be moderate; write, make notes; wait; have; moderate (a report)",1,1,hika(eru),5,"memo; duplicate; waiting; prop; reserve",1981
631,梗,11,7,"形声 Phonetic",-,"Ki, Kihen",コウ,,1,koo,2698,2,"for the most part; close up",0,0,-,0,-,2010
632,黄,11,2,"象形 Pictographic",2,"Ki, Kiiro",コウ、オウ、き、[こ],,2,"koo, 	oo",7045,1,yellow,2,2,"ki, [ko]",3,"yellow. turn yellow. yellow tint",1981
633,喉,12,7,"形声 Phonetic",-,"Kuchi, Kuchihen",コウ、のど,,1,koo,854,2,"throat, voice",1,1,nodo,2,"throat, voice",2010
634,慌,12,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",コウ、あわ-てる、あわ-ただしい,,1,koo,1917,4,"be confused, lose one's head, be hurried, be hasty",2,1,"awa(teru), awa(tadashii)",7,"be confused, lose one's head, be hurried, be hasty, busy, bustling, confused",1981
635,港,12,3,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",コウ、みなと,,1,koo,3242,2,"port, harbor",1,1,minato,2,"port, harbor",1981
636,硬,12,7,"形声 Phonetic",2,"Ishi, Ishihen",コウ、かた-い,,1,koo,4008,17,"hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, constant; stiff; bookish; classical; stubborn",1,1,kata(i),17,"hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, constant; stiff; bookish; classical; stubborn",1981
637,絞,12,7,"形声 Phonetic",1,"Ito, Itohen",コウ、しぼ-る、し-める、し-まる,,1,koo,4485,3,"strangle, constrict, wring",3,2,"shibo(ru), shi(meru), shi(maru)",10,"strangle, constrict, wring. squeeze, press, extract; milk; close tight; extort; scold",1981
638,項,12,7,"形声 Phonetic",1,Oogai,コウ,うなじ,1,koo,6617,5,"clause, paragraph; item; term (in math); argument (in math or linguistics) ",0,0,-,0,-,1981
639,溝,13,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",コウ、みぞ,,1,koo,3275,4,"ditch, gutter, sewer, drain ",1,1,mizo,7,"ditch, gutter, drain; groove, slot; gulf, gap ",1981
640,鉱,13,5,"形声 Phonetic",2,"Kane, Kanehen",コウ,あらがね,1,koo,6252,1,ore,0,0,-,0,-,1981
641,構,14,5,"形声 Phonetic",2,"Ki, Kihen",コウ、かま-える、かま-う,,1,koo,2823,9,"build; keep house; take a posture; assume an attitude; pose as; be ready for; feign, pretend; set up (camp) ",2,1,"kama(eru), kama(u)",18,"build; keep house; take a posture; assume an attitude; pose as; be ready for; feign, pretend; set up (camp). mind, care about; pay attention to; interfere with; be hospitable; tease, molest; expel, banish ",1981
642,綱,14,7,"形声 Phonetic",1,"Ito, Itohen",コウ、つな,,1,koo,4525,1,"class (in zoology)",1,1,tsuna,7,"rope, cord, string, line, hawser, cable; morality",1981
643,酵,14,7,"形声 Phonetic",1,"Tori, Torihen",コウ,,1,koo,6175,1,fermentation,0,0,-,0,-,1981
644,稿,15,7,"形声 Phonetic",1,"Nogi, Nogihen",コウ,,1,koo,4166,4,"copy, manuscript, draft; crest (of waves)",0,0,-,0,-,1981
645,興,16,5,"会意 Com. Ideographic",1,Usu,コウ、キョウ、おこ-る、おこ-す,お,2,"koo, 	kyoo",4913,3,"interest, entertainment, pleasure ",2,1,"oko(ru), oko(su)",5,"rise, flourish. revive, retrieve (fortunes), raise up ",1981
646,衡,16,7,"会意 Com. Ideographic",1,Gyoogamae,コウ,,1,koo,1775,2,"measuring rod; scales",0,0,-,0,-,1981
647,鋼,16,6,"形声 Phonetic",1,"Kane, Kanehen",コウ、はがね,,1,koo,6302,1,steel,1,1,hagane,1,steel,1981
648,講,17,5,"形声 Phonetic",2,"Gon, Gonben",コウ,,1,koo,5689,3,"lecture, club, association ",0,0,-,0,-,1981
649,購,17,7,"形声 Phonetic",1,"Kai, Kaihen",コウ,あがな,1,koo,5823,1,buy,0,0,-,0,-,1981
650,乞,3,7,"象形 Pictographic",-,"Otsu, Otsunyoo",こ-う,,0,-,59,0,-,1,1,ko(u),6,"ask, request; invite; pray for; beg, solicit",2010
651,号,5,3,"会意 Com. Ideographic",2,"Kuchi, Kuchihen",ゴウ,,1,goo,692,5,"number; item, title, pseudonym; Buddhist name ",0,0,-,0,-,1981
652,合,6,2,"象形 Pictographic",2,"Kuchi, Kuchihen",ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる,コウ,3,"goo, gaQ, [kaQ]",715,1,one-tenth,3,1,"a(u), a(wasu), a(waseru)",19,"fit, suit; agree with, match, be correct; pay, be profitable. join together; be opposite, face; unite, combine, connect; add up; mix; match; overlap; compare; check with ",1981
653,拷,9,7,"形声 Phonetic",1,Tehen,ゴウ,,1,goo,2142,2,"beat, torture",0,0,-,0,-,1981
654,剛,10,7,"会意 Com. Ideographic",1,"Katana, Rittoo",ゴウ,コウ、つよ,1,goo,497,1,strength,0,0,-,0,-,1981
655,傲,13,7,"形声 Phonetic",-,"Hito, Ninben, Hitoyane",ゴウ,おご,1,goo,294,1,"be proud",0,0,-,0,-,2010
656,豪,14,7,"形声 Phonetic",1,Inoko,ゴウ,つよ,1,goo,5749,3,"great, powerful, excelling",0,0,-,0,-,1981
657,克,7,7,"象形 Pictographic",1,Hitoashi,コク,か、よ,1,koku,354,4,"win; prevail, predominate, surpass ",0,0,-,0,-,1981
658,告,7,4,"象形 Pictographic",2,"Kuchi, Kuchihen",コク、つ-げる,,1,koku,744,6,"tell, inform, announce, proclaim; bid, order ",1,1,tsu(geru),6,"tell, inform, announce, proclaim; bid, order ",1981
659,谷,7,2,"象形 Pictographic",2,Tani,コク、たに,きわ,1,koku,5730,5,"valley, dale, ravine; trough (of a wave); trough (in atmospheric pressure) ",1,1,tani,5,"valley, dale, ravine; trough (of a wave); trough (in atmospheric pressure) ",1981
660,刻,8,6,"形声 Phonetic",2,"Katana, Rittoo",コク、きざ-む,,1,koku,478,4,"time; carving, engraving, cutting ",1,1,kiza(mu),8,"cut fine, chop up; mince, hash; carve (images); engrave (seals); chisel, cut, notch ",1981
661,国,8,2,"会意 Com. Ideographic",4,Kunigamae,コク、くに,,1,koku,950,1,country,1,1,kuni,5,"country, land, realm; province; native land ",1981
662,黒,11,2,"会意 Com. Ideographic",3,Kuro,コク、くろ、くろ-い,,1,koku,7052,2,"black; dark",2,1,"kuro, kuro(i)",5,"black; dark, swarthy, browned; dirty",1981
663,穀,14,6,"形声 Phonetic",1,"Nogi, Nogihen",コク,,1,koku,4157,2,"cereals, grain",0,0,-,0,-,1981
664,酷,14,7,"形声 Phonetic",1,"Tori, Torihen",コク,きび,1,koku,6176,2,"severity, cruelty",0,0,-,0,-,1981
665,獄,14,7,"会意 Com. Ideographic",1,"Inu, Kemonohen",ゴク,ひとや,1,goku,3602,2,"prison, jail",0,0,-,0,-,1981
666,骨,10,6,"会意 Com. Ideographic",2,"Hone, Honehen",コツ、ほね,,1,kotsu,6784,3,"bone; remains; knack",1,1,hone,8,"bone; skeleton; frame; rib (of an umbrella); grit, backbone; effort, pains ",1981
667,駒,15,7,"形声 Phonetic",-,"Uma, Umahen",こま,ク,0,-,6742,0,-,1,1,koma,6,"horse; colt, pony; chessman; frame (of a film); bridge (of a violin)",2010
668,込,5,7,"国字 Original",2,Shinnyoo,こ-む、こ-める,,0,-,6010,0,-,2,1,"ko(mu), ko(meru)",6,"be crowded; requiring (a lot of work). include; load (a gun); concentrate on; devote oneself to",1981
669,頃,11,7,"会意 Com. Ideographic",1,Oogai,ころ,ケイ,0,-,6615,0,-,1,1,koro,3,"time, period. about (regarding time)",2010
670,今,4,2,"仮借 Loan",4,"Hito, Ninben, Hitoyane",コン、キン、いま,,2,"kon, 	kin",112,4,"now, the present; the coming; this ",1,1,ima,6,"now, present time; just now, soon, immediately; (one) more ",1981
671,困,7,6,"象形 Pictographic",2,Kunigamae,コン、こま-る,,1,kon,946,5,"be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed ",1,1,koma(ru),5,"be distressed be in trouble, be destitute, be embarrassed, be perplexed, be annoyed ",1981
672,昆,8,7,"象形 Pictographic",1,"Nichi, Nichihen",コン,,1,kon,2430,2,"descendants, elder brother",0,0,-,0,-,1981
673,恨,9,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",コン、うら-む、うら-めしい,,1,kon,1842,2,"bear a grudge, show resentment",2,1,"ura(mu), ura(meshii)",4,"bear a grudge, show resentment, hateful, bitter",1981
674,根,10,3,"形声 Phonetic",2,"Ki, Kihen",コン、ね,,1,kon,2670,4,"root (of a plant); root, radical (in science and math); stamina ",1,1,ne,6,"root; base (of a hill); head (of a boil); origin; foundation; peak",1981
675,婚,11,7,"形声 Phonetic",2,"Onna, Onnahen",コン,,1,kon,1242,1,marriage,0,0,-,0,-,1981
676,混,11,5,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",コン、ま-じる、ま-ざる、ま-ぜる、こ-む,,1,kon,3204,5,"mix; blend; adulterate; confound, confuse ",4,2,"ma(jiru), ma(zaru), ma(zeru), ko(mu)",8,"mix, blend, mingle; include, let in on. be mixed, be blended; mingle with ",1981
677,痕,11,7,"形声 Phonetic",-,Yamaidare,コン、あと,,1,kon,3803,2,"mark; footprint",1,1,ato,2,"mark; footprint",2010
678,紺,11,7,"形声 Phonetic",1,"Ito, Itohen",コン,,1,kon,4466,2,"dark blue, navy blue",0,0,-,0,-,1981
679,魂,14,7,"会意 Com. Ideographic",1,"Oni, Kinyoo",コン、たましい,,1,kon,6835,2,"soul, spirit",1,1,tamashii,2,"soul, spirit",1981
680,墾,16,7,"形声 Phonetic",1,"Tsuchi, Tsuchihen",コン,,1,kon,1097,1,"open up farmland",0,0,-,0,-,1981
681,懇,17,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",コン、ねんご-ろ,,1,kon,2002,4,"kind, courteous, hospitable, cordial",1,1,nengo(ro),4,"kind, courteous, hospitable, cordial",1981
682,左,5,1,"会意 Com. Ideographic",4,"E, Takumihen",サ、ひだり,,1,sa,1535,2,"left; the following",1,1,hidari,3,"left; the left; leftist",1981
683,佐,7,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",サ,たす,1,sa,155,1,help,0,0,-,0,-,1981
684,沙,7,7,"形声 Phonetic",1,"Mizu, Sanzui, Shitamizu",サ,シャ、すな,1,sa,3063,1,sand,0,0,-,0,-,2010
685,査,9,5,"形声 Phonetic",2,"Ki, Kihen",サ,,1,sa,2630,1,investigate,0,0,-,0,-,1981
686,砂,9,6,"形声 Phonetic",2,"Ishi, Ishihen",サ、シャ、すな,,2,"sa, 	sha",3992,1,sand,1,1,suna,1,sand,1981
687,唆,10,7,"形声 Phonetic",1,"Kuchi, Kuchihen",サ、そそのか-す,,1,sa,803,4,"tempt, seduce; instigate; promote",1,1,sosonoka(su),1,"tempt, seduce; instigate; promote",1981
688,差,10,4,"形声 Phonetic",2,"E, Takumihen",サ、さ-す,,1,sa,1537,6,"difference, variation; discrepancy; margin; balance; remainder (in subtraction) ",1,1,sa(su),12,"raise (the hands); stretch out( the hands in dancing); put up (an umbrella); carry (on the shoulder); build (a hut); stretch (a rope); graft (trees); carry (in the belt); lift up; offer. (the sun) shines; appear on the surface",1981
689,詐,12,7,"形声 Phonetic",1,"Gon, Gonben",サ,いつわ,1,sa,5585,6,"lie, falsify; deceive; pretend; deceive, cheat ",0,0,-,0,-,1981
690,鎖,18,7,"形声 Phonetic",1,"Kane, Kanehen",サ、くさり,と,1,sa,6325,3,"chain; irons; connection",1,1,kusari,3,"chain; irons; connection",1981
691,座,10,6,"形声 Phonetic",2,Madare,ザ、すわ-る,サ、くら、ぐら,1,za,1619,11,"seat, cushion; throne; a gathering; stand, pedestal, platform; (metal) washer; theater; troupe; constellation ",1,1,suwa(ru),3,"squat down, sit down, (eyes) are fixed on ",1981
692,挫,10,7,"形声 Phonetic",-,Tehen,ザ,くじ,1,za,2163,7,"crush, break, sprain, dislocate; frustrate; unnerve; dampen(spirits)",0,0,-,0,-,2010
693,才,3,2,"象形 Pictographic",2,Tehen,サイ,,1,sai,2059,15,"ability, talent, aptitude, genius, acumen, intelligence, wit; cubic foot; year, age; time; occasion; opportunity; limit; vicinity ",0,0,-,0,-,1981
694,再,6,5,"象形 Pictographic",2,Doogamae,サイ、[サ]、ふたた-び,,2,"sai, [sa]",391,2,"again, twice",1,1,futata(bi),2,"again, twice",1981
695,災,7,5,"会意 Com. Ideographic",1,"Hi, Hihen, Renga",サイ、わざわ-い,,1,sai,3400,5,"calamity, misfortune, woe, evil, curse",1,1,wazawa(i),5,"calamity, misfortune, woe, evil, curse",1981
696,妻,8,5,"象形 Pictographic",2,"Onna, Onnahen",サイ、つま,め,1,sai,1200,1,"(my) wife",1,1,tsuma,2,"wife, spouse",1981
697,采,8,7,"会意 Com. Ideographic",-,Nogome,サイ,,1,sai,6201,3,"dice; form, appearance",0,0,-,0,-,2010
698,砕,9,7,"形声 Phonetic",1,"Ishi, Ishihen",サイ、くだ-く、くだ-ける,,1,sai,3990,6,"break, smash, crush; pulverize; tax (one's ingenuity); explain simply ",2,1,"kuda(ku), kuda(keru)",10,"break, smash, crush; pulverize; tax (one's ingenuity); explain simply. crumble, be crushed, go to pieces; become familiar ",1981
699,宰,10,7,"会意 Com. Ideographic",1,Ukanmuri,サイ,,1,sai,1330,2,"manager; rule",0,0,-,0,-,1981
700,栽,10,7,"形声 Phonetic",1,"Ki, Kihen",サイ,,1,sai,2654,1,planting,0,0,-,0,-,1981
701,彩,11,7,"形声 Phonetic",1,Sanzukuri,サイ、いろど-る,,1,sai,1718,3,"color, paint, make up",1,1,irodo(ru),3,"color, paint, make up",1981
702,採,11,5,"形声 Phonetic",2,Tehen,サイ、と-る,,1,sai,2209,41,"take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat, set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess",1,1,to(ru),41,"take, hold, seize, catch, capture; fetch; receive, procure, obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick, pluck; make, produce; eat, set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed, catch (fish); deprive of; steal; capture (territory), annex; need, require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess",1981
703,済,11,6,"形声 Phonetic",2,"Mizu, Sanzui, Shitamizu",サイ、す-む、す-ます,セイ、わた,1,sai,3197,5,"end; do without; avoid; be excusable; need not",2,1,"su(mu), su(masu)",8,"end; do without; avoid; be excusable; need not. finish up; settle (one's account); make do",1981
704,祭,11,3,"会意 Com. Ideographic",2,"Shimesu, Shimesuhen",サイ、まつ-る、まつ-り,,1,sai,4092,5,"offer prayers; celebrate; deify; enshrine; worship",2,1,"matsu(ru), matsu(ri)",7,"offer prayers; celebrate; deify; enshrine; worship. festival, feast",1981
705,斎,11,7,"会意 Com. Ideographic",1,Sei,サイ,いつき、とき,1,sai,2368,2,"Buddhist food; room",0,0,-,0,-,1981
706,細,11,2,"形声 Phonetic",2,"Ito, Itohen",サイ、ほそ-い、ほそ-る、こま-か、こま-かい,ささ,1,sai,4472,2,"get thin; taper off",4,2,"hoso(i), hoso(ru), koma(ka), koma(kai)",16,"get thin; taper off. fine (line); thin (voice); slender; narrow (trousers). small, fine; detailed; minor, trifling; elaborate, delicate; stingy, frugal; small (change) ",1981
707,菜,11,4,"形声 Phonetic",2,Kusakanmuri,サイ、な,,1,sai,5097,3,"side dish; greens; vegetables",1,1,na,3,"greens; vegetables; the rape or mustard plant",1981
708,最,12,4,"会意 Com. Ideographic",2,Hirabi,サイ、もっと-も,,1,sai,2492,1,most,1,1,motto(mo),1,most,1981
709,裁,12,6,"形声 Phonetic",1,"Koromo, Koromohen",サイ、た-つ、さば-く,,1,sai,5454,1,judge,2,2,"ta(tsu), saba(ku)",9,"judge. cut out (a suit); sever, cut off; shut off, interrupt; abstain from; eradicate; suppress",1981
710,債,13,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",サイ,,1,sai,296,2,"debt, loan",0,0,-,0,-,1981
711,催,13,7,"形声 Phonetic",1,"Hito, Ninben, Hitoyane",サイ、もよお-す,,1,sai,298,6,"hold (a meeting); give (a dinner); feel; show signs of, develop symptoms of, feel (sick) ",1,1,moyoo(su),6,"hold (a meeting); give (a dinner); feel; show signs of, develop symptoms of, feel (sick) ",1981
712,塞,13,7,"会意 Com. Ideographic",-,"Tsuchi, Tsuchihen",サイ、ソク、ふさ-ぐ、ふさ-がる,,2,"sai, soku",1069,7,"close, shut, cover, block, wall up obstruct, fill; occupy",2,1,"fusa(gu), fusa(garu)",13,"close, shut, cover, block, wall up obstruct, fill; occupy; be closed, be blocked, be obstructed, be clogged, be shut; be occupied",2010
713,歳,13,7,"象形 Pictographic",2,Tomeru,サイ、[セイ],とし,2,"sai, [sei]",2962,7,"year, age; time; occasion; opportunity; limit; vicinity ",0,0,-,0,-,1981
714,載,13,7,"形声 Phonetic",1,"Kuruma, Kurumahen",サイ、の-せる、の-る,,1,sai,5960,12,"ride, board, mount; get up on; spread (paints); be taken in; share in, join; be found in (a dictionary); feel like doing; be mentioned in; be in harmony with ",2,1,"no(seru), no(ru)",20,"ride, board, mount; get up on; spread (paints); be taken in; share in, join; be found in (a dictionary); feel like doing; be mentioned in; be in harmony with. place, put, lay, set; let (one) take part; impose on; record, mention ",1981
715,際,14,5,"会意 Com. Ideographic",2,Kozatohen,サイ、きわ,,1,sai,6478,3,"time, occasion; when ",1,1,kiwa,3,"side, edge, verge ",1981
716,埼,11,7,"形声 Phonetic",-,"Tsuchi, Tsuchihen",[さい],さき、ざき,0,-,1028,0,-,1,1,[sai],1,"cape, used for the name of prefecture, 'Saitama'",2010
717,在,6,5,"会意 Com. Ideographic",2,"Tsuchi, Tsuchihen",ザイ、あ-る,,1,zai,975,3,"outskirts, suburbs, country ",1,1,a(ru),11,"there is, have, exist; occur; be located, be contained in; (it) measures; happen; be found; be held; consist of ",1981
718,材,7,4,"形声 Phonetic",2,"Ki, Kihen",ザイ,,1,zai,2561,6,"log; timber, lumber, wood; material; talent ",0,0,-,0,-,1981
719,剤,10,7,"会意 Com. Ideographic",1,"Katana, Rittoo",ザイ,,1,zai,493,3,"medicine, drug, dose",0,0,-,0,-,1981
720,財,10,5,"形声 Phonetic",2,"Kai, Kaihen",ザイ、[サイ],たから,2,"zai, [sai]",5773,4,"money, wealth, assets; property",0,0,-,0,-,1981
721,罪,13,5,"会意 Com. Ideographic",2,Amigashira,ザイ、つみ,,1,zai,4644,7,"sin, crime, offense, guilt, blame, fault, misconduct ",1,1,tsumi,7,"sin, crime, offense, guilt, blame, fault, misconduct ",1981
722,崎,11,7,"形声 Phonetic",1,"Yama, Yamahen",さき,キ,0,-,1485,0,-,1,1,saki,3,"cape, spit, promontory",1981
723,作,7,2,"形声 Phonetic",3,"Hito, Ninben, Hitoyane",サク、サ、つく-る,,2,"saku, 	sa",167,5,"a work, a production; tillage; harvest; ridge (in a field) ",1,1,tsuku(ru),17,"a work, a production; tillage; harvest; ridge (in a field) ",1981
724,削,9,7,"会意 Com. Ideographic",1,"Katana, Rittoo",サク、けず-る,,1,saku,488,9,"plane, sharpen, whittle, pare, shave (leather); scrape off; cross out; reduce, curtail ",1,1,kezu(ru),9,"plane, sharpen, whittle, pare, shave (leather); scrape off; cross out; reduce, curtail ",1981
725,昨,9,4,"形声 Phonetic",2,"Nichi, Nichihen",サク,きのう,1,saku,2449,3,"the past; yesterday, last (year)",0,0,-,0,-,1981
726,柵,9,7,"形声 Phonetic",-,"Ki, Kihen",サク,しがらみ,1,saku,2620,3,"stockade, fence, palisade",0,0,-,0,-,2010
727,索,10,7,"象形 Pictographic",1,"Ito, Itohen",サク,,1,saku,4449,2,"rope, cord ",0,0,-,0,-,1981
728,策,12,6,"形声 Phonetic",1,"Take, Takekanmuri",サク,,1,saku,4284,6,"plan, scheme, policy; step, means; whip",0,0,-,0,-,1981
729,酢,12,7,"形声 Phonetic",1,"Tori, Torihen",サク、す,,1,saku,6169,1,vinegar,1,1,su,1,vinegar,1981
730,搾,13,7,"形声 Phonetic",1,Tehen,サク、しぼ-る,,1,saku,2251,8,"wring, squeeze, press, extract; milk; close tight; extort; scold ",1,1,shibo(ru),8,"wring, squeeze, press, extract; milk; close tight; extort; scold ",1981
731,錯,16,7,"形声 Phonetic",1,"Kane, Kanehen",サク,,1,saku,6299,2,"mix, be in discorder",0,0,-,0,-,1981
732,咲,9,7,"形声 Phonetic",2,"Kuchi, Kuchihen",さ-く,,0,-,790,0,-,1,1,sa(ku),2,"bloom, blossom",1981
733,冊,5,6,"象形 Pictographic",2,Doogamae,サツ、サク,,2,"satsu, 	saku",389,4,"volume, book, letter; book counter ",0,0,-,0,-,1981
734,札,5,4,"会意 Com. Ideographic",2,"Ki, Kihen",サツ、ふだ,,1,satsu,2533,2,"paper money, counter for bonds, etc",1,1,fuda,8,"tag, placard; name plate; check; charm, (playing) card; tender, bid",1981
735,刷,8,4,"会意 Com. Ideographic",2,"Katana, Rittoo",サツ、す-る,はけ、ばけ,1,satsu,479,1,print,1,1,su(ru),1,print,1981
736,刹,8,7,"会意 Com. Ideographic",-,"Katana, Rittoo",サツ、セツ,,2,"satsu, setsu",474,1,temple,0,0,-,0,-,2010
737,拶,9,7,"会意 Com. Ideographic",1,Tehen,サツ,,1,satsu,2134,1,"be imminent",0,0,-,0,-,2010
738,殺,10,4,"会意 Com. Ideographic",2,Rumata,サツ、[サイ]、[セツ]、ころ-す,,3,"satsu, [sai], [setsu]",2994,8,"kill, murder, butcher; waste (money); suppress (anger); hold (breath); put off, strike out ",1,1,koro(su),8,"kill, murder, butcher; waste (money); suppress (anger); hold (breath); put off, strike out ",1981
739,察,14,4,"会意 Com. Ideographic",2,Ukanmuri,サツ,,1,satsu,1360,8,"presume, surmise; judge; realize, understand; imaging, suppose; sympathize with ",0,0,-,0,-,1981
740,撮,15,7,"形声 Phonetic",1,Tehen,サツ、と-る,つま,1,satsu,2282,4,"pick, pinch; hold in the fingers; summarize ",1,1,to(ru),1,"take (pictures)",1981
741,擦,17,7,"形声 Phonetic",1,Tehen,サツ、す-る、す-れる,こす,1,satsu,2306,6,"rub, scour, scrub, scratch, scrape, brush ",2,1,"su(ru), su(reru)",6,"rub, chafe; strike (a match); frost (glass). wear; become sophisticated ",1981
742,雑,14,5,"形声 Phonetic",2,Furutori,ザツ、ゾウ,,2,"zatsu, 	zoo",6507,2,"miscellany; miscellaneous",0,0,-,0,-,1981
743,皿,5,3,"象形 Pictographic",2,Sara,さら,,0,-,3885,0,-,1,1,sara,3,"dish; a helping; a course",1981
744,三,3,1,"指事 Ideographic",4,Ichi,サン、み、み-つ、みっ-つ,,1,san,8,1,three,3,2,"mi, mi(tsu), mit(tsu)",1,three,1981
745,山,3,1,"象形 Pictographic",4,"Yama, Yamahen",サン、やま,セン、ゼン,1,san,1439,2,"mount, mountain",1,1,yama,15,"mountain, hill, height, knoll; heap, pile; crown (of a hat); seam (of an obi); speculation, adventure; climax, acme, crisis; forest; mine ",1981
746,参,8,4,"会意 Com. Ideographic",2,Mu,サン、まい-る,,1,san,666,4,"three; going; coming; visiting",1,1,mai(ru),9,"go; come; call, visit; visit a shrine; be defeated; be nonplussed; be madly in love; die ",1981
747,桟,10,7,"形声 Phonetic",1,"Ki, Kihen",サン,さじき,1,san,2658,7,"crosspiece, cleat, frame, door bolt; shelf; jetty; suspension bridge",0,0,-,0,-,1981
748,蚕,10,6,"形声 Phonetic",1,"Mushi, Mushihen",サン、かいこ,ごかい,1,san,5290,1,"silk worm",1,1,kaiko,1,"silk worm",1981
749,惨,11,7,"形声 Phonetic",1,"Kokoro, Risshinben, Shitagokoro",サン、ザン、みじ-め,,2,"san, 	zan",1896,3,"disaster; cruelty; wretchedness",1,1,miji(me),3,"sad, pitiful, wretched",1981
750,産,11,4,"会意 Com. Ideographic",2,Umareru,サン、う-む、う-まれる、うぶ,,1,san,3716,5,"childbirth; product; native (of a place); fortune, property ",3,2,"u(mu), u(mareru), ubu",7,"bear, give birth to, breed, spawn; produce, yield (interest). be born",1981
751,傘,12,7,"象形 Pictographic",1,"Hito, Ninben, Hitoyane",サン、かさ,,1,san,283,2,"umbrella, parasol",1,1,kasa,2,"umbrella, parasol",1981
752,散,12,4,"会意 Com. Ideographic",2,Nobun,サン、ち-る、ち-らす、ち-らかす、ち-らかる,,1,san,2352,7,"scatter, disperse; spend, squander; dispel, dissipate, chase away ",4,1,"chi(ru), chi(rasu), chi(rakasu), chi(rakaru)",21,"fall, scatter, be scattered, be shed; disperse; (rumor) spreads; run, spread, blur. dissipate (fog); dispel; take down or loosen (the hair); rout; distribute (handbills); distract (attention); splash on (a pattern). scatter (around), disarrange, leave untidy. lie scattered around, be in disorder ",1981
753,算,14,2,"会意 Com. Ideographic",2,"Take, Takekanmuri",サン,,1,san,4316,6,"divining (block); calculation; number; abacus; plan; probability",0,0,-,0,-,1981
754,酸,14,5,"形声 Phonetic",1,"Tori, Torihen",サン、す-い,,1,san,6177,2,"acid; bitterness",1,1,su(i),3,"sour, acid, tart",1981
755,賛,15,5,"会意 Com. Ideographic",2,"Kai, Kaihen",サン,,1,san,5814,3,"praise; title or brief inscription on picture; agreement",0,0,-,0,-,1981
