id,"Comp. Word",Frequency,"Grammatical Feature",Pronunciation,"English Translation",Position,Kanji,KanjiID
2937,潜在,2740,"light-verb -suru attached",senzai,potentiality,R,在,717
3225,自在,2371,"adjectival noun, na-adjective",zizai,freely,R,在,717
3283,所在,2322,"general noun",syozai,whereabouts,R,在,717
3483,健在,2113,"adjectival noun, na-adjective",kenzai,"in good health",R,在,717
3613,駐在,1998,"light-verb -suru attached",tyuuzai,residence,R,在,717
4964,実在,1123,"light-verb -suru attached",zituzai,reality,R,在,717
5449,点在,933,"light-verb -suru attached",tenzai,"dotted with",R,在,717
5870,混在,795,"light-verb -suru attached",konzai,mixture,R,在,717
6697,顕在,597,"light-verb -suru attached",kenzai,actual,R,在,717
7301,介在,497,"light-verb -suru attached",kaizai,mediation,R,在,717
9056,偏在,288,"light-verb -suru attached",henzai,"uneven distribution",R,在,717
11621,内在,141,"light-verb -suru attached",naizai,immanence,R,在,717
12017,散在,127,"light-verb -suru attached",sanzai,"to be scattered",R,在,717
19937,遍在,14,"light-verb -suru attached",henzai,omnipresence,R,在,717
20726,伏在,11,"light-verb -suru attached",hukuzai,"lying concealed",R,在,717
21134,外在,9,"light-verb -suru attached",gaizai,external,R,在,717
21563,近在,8,"general noun",kinzai,"neighboring villages",R,在,717
24245,局在,3,"light-verb -suru attached",kyokuzai,localization,R,在,717
1029,材料,11440,"general noun",zairyoo,ingredients,L,材,718
7729,材質,433,"general noun",zaisitu,material,L,材,718
9526,材木,249,"general noun",zaimoku,lumber,L,材,718
292,取材,34235,"light-verb -suru attached",syuzai,"news coverage",R,材,718
1147,人材,10254,"general noun",zinzai,"capable person",R,材,718
1553,素材,6819,"general noun",sozai,"raw materials",R,材,718
2689,食材,3148,"general noun",syokuzai,ingredient,R,材,718
2922,題材,2764,"general noun",daizai,subject,R,材,718
3320,教材,2279,"general noun",kyoozai,"teaching materials",R,材,718
3908,資材,1728,"general noun",sizai,material,R,材,718
4027,木材,1629,"general noun",mokuzai,lumber,R,材,718
4979,機材,1118,"general noun",kizai,"machine parts",R,材,718
5237,建材,1014,"general noun",kenzai,"building material",R,材,718
5542,鋼材,901,"general noun",koozai,"steel material",R,材,718
6935,逸材,552,"general noun",ituzai,"outstanding talent",R,材,718
7958,廃材,403,"general noun",haizai,"scrap wood",R,材,718
8224,部材,370,"general noun",buzai,component,R,材,718
8955,石材,298,"general noun",sekizai,stone,R,材,718
9796,製材,232,"light-verb -suru attached",seizai,sawing,R,材,718
10815,画材,174,"general noun",gazai,"subject matter of a painting",R,材,718
12007,角材,127,"general noun",kakuzai,"squared timber",R,材,718
12057,器材,125,"general noun",kizai,"tools and materials",R,材,718
14566,外材,63,"general noun",gaizai,"foreign or imported timber",R,材,718
14790,適材,60,"general noun",tekizai,"man fit for the post",R,材,718
16676,用材,36,"general noun",yoozai,materials,R,材,718
18070,鉄材,24,"general noun",tetuzai,"iron material",R,材,718
19315,印材,16,"general noun",inzai,"seal stock",R,材,718
24917,良材,3,"general noun",ryoozai,"good material",R,材,718
25011,偉材,2,"general noun",izai,"extraordinary talent",R,材,718
3201,製剤,2392,"general noun",seizai,formulation,R,剤,719
4350,薬剤,1414,"general noun",yakuzai,medicine,R,剤,719
4902,洗剤,1149,"general noun",senzai,detergent,R,剤,719
7284,錠剤,500,"general noun",zyoozai,pill,R,剤,719
9299,調剤,267,"light-verb -suru attached",tyoozai,"compounding medicine",R,剤,719
10069,溶剤,216,"general noun",yoozai,solvent,R,剤,719
14007,下剤,73,"general noun",gezai,laxative,R,剤,719
19253,配剤,17,"light-verb -suru attached",haizai,"compounding of medicine",R,剤,719
19742,液剤,14,"general noun",ekizai,"liquid medicine",R,剤,719
21001,乳剤,10,"general noun",nyuuzai,emulsion,R,剤,719
22184,鉄剤,7,"general noun",tetuzai,"iron preparations",R,剤,719
24043,油剤,4,"general noun",yuzai,medicine,R,剤,719
25726,吐剤,2,"general noun",tozai,"an emetic",R,剤,719
26736,散剤,1,"general noun",sanzai,"powdered medicine",R,剤,719
27885,瀉剤,1,"general noun",syazai,cathartic,R,剤,719
203,財政,41934,"general noun",zaisei,"financial affairs",L,財,720
544,財務,20854,"general noun",zaimu,"financial affairs",L,財,720
695,財源,16929,"general noun",zaigen,"source of funds",L,財,720
1192,財団,9630,"general noun",zaidan,foundation,L,財,720
1516,財産,7043,"general noun",zaisan,property,L,財,720
3215,財布,2379,"general noun",saihu,purse,L,財,720
3247,財界,2348,"general noun",zaikai,"financial world",L,財,720
5112,財閥,1068,"general noun",zaibatu,zaibatsu,L,財,720
5445,財投,935,"light-verb -suru attached",zaitoo,"Fiscal Investment and Loan Program",L,財,720
12475,財宝,112,"general noun",zaihoo,treasure,L,財,720
12607,財力,108,"general noun",zairyoku,assets,L,財,720
13322,財形,89,"general noun",zaikei,"asset formation",L,財,720
15899,財経,44,"general noun",zaikei,"politics and economics",L,財,720
18473,財物,21,"general noun",zaibutu,property,L,財,720
19385,財貨,16,"general noun",zaika,commodity,L,財,720
4049,管財,1612,"general noun",kanzai,"administration of property",R,財,720
7020,蓄財,539,"light-verb -suru attached",tikuzai,"amassing of wealth",R,財,720
8153,私財,378,"general noun",sizai,"private funds",R,財,720
10710,理財,180,"general noun",rizai,finance,R,財,720
10839,家財,173,"general noun",kazai,"household belongings",R,財,720
13860,浄財,77,"general noun",zyoozai,"monetary offering",R,財,720
15902,散財,44,"light-verb -suru attached",sanzai,expense,R,財,720
15995,資財,43,"general noun",sizai,property,R,財,720
17359,借財,29,"light-verb -suru attached",syakuzai,loan,R,財,720
25497,殖財,2,"general noun",syokuzai,moneymaking,R,財,720
26429,巨財,1,"general noun",kyozai,"huge fortune",R,財,720
7664,罪悪,441,"general noun",zaiaku,crime,L,罪,721
9886,罪名,226,"general noun",zaimei,"name of a crime",L,罪,721
10429,罪状,195,"general noun",zaizyoo,charges,L,罪,721
12098,罪人,124,"general noun",zainin,criminal,L,罪,721
15145,罪責,54,"general noun",zaiseki,"responsibility or liability for a crime",L,罪,721
19585,罪業,15,"general noun",zaigoo,sin,L,罪,721
23664,罪障,4,"general noun",zaisyoo,sins,L,罪,721
26712,罪過,1,"general noun",zaika,offence,L,罪,721
532,犯罪,21232,"general noun",hanzai,crime,R,罪,721
947,謝罪,12361,"light-verb -suru attached",syazai,apology,R,罪,721
1449,無罪,7548,"general noun",muzai,innocence,R,罪,721
1547,有罪,6862,"general noun",yuuzai,guilt,R,罪,721
5109,冤罪,1069,"general noun",enzai,"false charge",R,罪,721
6433,同罪,653,"general noun",doozai,"same offense",R,罪,721
7527,断罪,462,"light-verb -suru attached",danzai,judgment,R,罪,721
7852,功罪,417,"general noun",koozai,"both good and bad",R,罪,721
9166,余罪,279,"general noun",yozai,"other crimes",R,罪,721
10943,重罪,169,"general noun",zyuuzai,felony,R,罪,721
12246,免罪,120,"general noun",menzai,acquittal,R,罪,721
12340,贖罪,117,"light-verb -suru attached",syokuzai,atonement,R,罪,721
13228,微罪,92,"general noun",bizai,"minor offense",R,罪,721
13679,大罪,81,"general noun",daizai,"serious crime",R,罪,721
15427,原罪,50,"general noun",genzai,"original sin",R,罪,721
15994,死罪,43,"general noun",sizai,"capital crime",R,罪,721
17300,流罪,30,"general noun",ruzai,banishment,R,罪,721
22504,斬罪,6,"general noun",zanzai,decapitation,R,罪,721
27679,問罪,1,"light-verb -suru attached",monzai,accusation,R,罪,721
134,作品,56451,"general noun",sakuhin,work,L,作,723
299,作業,33433,"light-verb -suru attached",sagyoo,work,L,作,723
393,作家,27150,"general noun",sakka,author,L,作,723
740,作成,15962,"light-verb -suru attached",sakusei,"drawing up",L,作,723
792,作戦,14949,"general noun",sakusen,tactics,L,作,723
1687,作曲,6134,"light-verb -suru attached",sakkyoku,composition,L,作,723
2385,作者,3773,"general noun",sakusya,author,L,作,723
2598,作用,3313,"light-verb -suru attached",sayoo,action,L,作,723
3452,作動,2161,"light-verb -suru attached",sadoo,operation,L,作,723
3470,作詞,2133,"light-verb -suru attached",sakusi,"song lyrics",L,作,723
3819,作物,1803,"general noun",sakumotu,produce,L,作,723
4215,作文,1509,"light-verb -suru attached",sakubun,writing,L,作,723
4624,作製,1277,"light-verb -suru attached",sakusei,manufacture,L,作,723
5172,作風,1044,"general noun",sakuhuu,"literary style",L,作,723
6040,作法,751,"general noun",sahoo,manners,L,作,723
9285,作況,268,"general noun",sakkyoo,crops,L,作,723
9791,作為,232,"light-verb -suru attached",sakui,artificiality,L,作,723
10238,作詩,205,"light-verb -suru attached",sakusi,versification,L,作,723
10391,作付,197,"general noun",sakuzuke,planting,L,作,723
11096,作柄,162,"general noun",sakugara,"crop conditions",L,作,723
11323,作画,153,"light-verb -suru attached",sakuga,"drawing pictures",L,作,723
12790,作出,103,"general noun",sakusyutu,"new creation",L,作,723
12942,作歌,99,"light-verb -suru attached",sakka,"writing songs or poems",L,作,723
15508,作例,49,"general noun",sakurei,"model of writing",L,作,723
18474,作意,21,"general noun",sakui,idea,L,作,723
18475,作図,21,"light-verb -suru attached",sakuzu,drawing,L,作,723
25366,作男,2,"general noun",sakuotoko,"farm hand",L,作,723
26713,作興,1,"light-verb -suru attached",sakkoo,promoting,L,作,723
23,著作,127950,"light-verb -suru attached",tyosaku,writing,R,作,723
1019,制作,11513,"light-verb -suru attached",seisaku,work,R,作,723
1484,操作,7250,"light-verb -suru attached",soosa,operation,R,作,723
1545,工作,6864,"light-verb -suru attached",koosaku,handicraft,R,作,723
1600,製作,6563,"light-verb -suru attached",seisaku,manufacture,R,作,723
1768,新作,5841,"light-verb -suru attached",sinsaku,"new work",R,作,723
1985,原作,4858,"general noun",gensaku,"original work",R,作,723
2711,創作,3098,"light-verb -suru attached",soosaku,production,R,作,723
3296,名作,2306,"general noun",meisaku,masterpiece,R,作,723
3882,大作,1753,"general noun",taisaku,epic,R,作,723
3993,動作,1653,"light-verb -suru attached",doosa,action,R,作,723
4094,自作,1585,"light-verb -suru attached",zisaku,"one's own work",R,作,723
4444,傑作,1372,"general noun",kessaku,masterpiece,R,作,723
4539,劇作,1320,"general noun",gekisaku,"play writing",R,作,723
5040,発作,1094,"general noun",hossa,fit,R,作,723
5062,試作,1085,"light-verb -suru attached",sisaku,"trial manufacture",R,作,723
5494,耕作,915,"light-verb -suru attached",koosaku,cultivation,R,作,723
5555,前作,899,"general noun",zensaku,"previous work",R,作,723
6076,連作,741,"light-verb -suru attached",rensaku,"planting a field with the same crop each year",R,作,723
6174,佳作,715,"general noun",kasaku,"good piece of work",R,作,723
6206,力作,706,"general noun",rikisaku,,R,作,723
6551,不作,625,"general noun",husaku,"poor crop",R,作,723
6704,稲作,595,"general noun",inasaku,"rice cultivation",R,作,723
6720,秀作,593,"general noun",syuusaku,work,R,作,723
7438,合作,476,"light-verb -suru attached",gassaku,collaboration,R,作,723
7543,豊作,460,"general noun",hoosaku,"abundant harvest",R,作,723
7553,遺作,458,"general noun",isaku,"posthumous works",R,作,723
7681,傑作,439,"adjectival noun, na-adjective",kessaku,masterpiece,R,作,723
9000,所作,293,"general noun",syosa,conduct,R,作,723
9232,労作,273,"general noun",roosaku,toil,R,作,723
9829,近作,230,"general noun",kinsaku,"recent work",R,作,723
9941,詩作,223,"light-verb -suru attached",sisaku,"composition of a poem",R,作,723
10109,転作,213,"general noun",tensaku,"crop diversification",R,作,723
10166,盗作,209,"light-verb -suru attached",toosaku,plagiarism,R,作,723
11735,旧作,136,"general noun",kyuusaku,"one's old publication",R,作,723
11768,凶作,135,"general noun",kyoosaku,"bad harvest",R,作,723
12639,句作,107,"light-verb -suru attached",kusaku,"composing haiku poems",R,作,723
13123,習作,94,"general noun",syuusaku,study,R,作,723
13207,贋作,92,"light-verb -suru attached",gansaku,fake,R,作,723
13753,小作,79,"general noun",kosaku,"tenant farming",R,作,723
13908,畑作,76,"general noun",hatasaku,"dry field farming",R,作,723
13928,競作,75,"light-verb -suru attached",kyoosaku,"competition for better work",R,作,723
13948,造作,75,"light-verb -suru attached",zoosaku,building,R,作,723
14051,米作,73,"general noun",beisaku,"rice crop",R,作,723
14125,戯作,71,"general noun",gesaku,"cheap literature",R,作,723
14878,改作,58,"light-verb -suru attached",kaisaku,adaptation,R,作,723
15114,万作,55,"general noun",mansaku,"witch hazel",R,作,723
15535,駄作,49,"general noun",dasaku,"poor work",R,作,723
15764,多作,46,"light-verb -suru attached",tasaku,prolific,R,作,723
16040,平作,43,"general noun",heisaku,"normal crop",R,作,723
16539,全作,37,"general noun",zensaku,"whole work",R,作,723
17315,寡作,29,"adjectival noun, na-adjective",kasaku,"low production",R,作,723
18059,代作,24,"light-verb -suru attached",daisaku,ghost-writing,R,作,723
18948,愚作,18,"general noun",gusaku,"poor work",R,作,723
19483,補作,16,"light-verb -suru attached",hosaku,"adding something to or altering a finished work of art",R,作,723
19487,凡作,16,"general noun",bonsaku,"poor piece of writing",R,作,723
19538,寡作,15,"general noun",kasaku,"low production",R,作,723
20523,間作,11,"light-verb -suru attached",kansaku,"catch crop",R,作,723
21537,偽作,8,"light-verb -suru attached",gisaku,"apocryphal work",R,作,723
21644,秋作,8,"general noun",akisaku,"autumn crops",R,作,723
21846,輪作,8,"light-verb -suru attached",rinsaku,"rotation of crops",R,作,723
22183,適作,7,"general noun",tekisaku,"suitable crop",R,作,723
22279,模作,7,"light-verb -suru attached",mosaku,imitation,R,作,723
22297,乱作,7,"light-verb -suru attached",ransaku,overproduction,R,作,723
22299,裏作,7,"general noun",urasaku,"second crop",R,作,723
22544,述作,6,"light-verb -suru attached",zyussaku,"writing a book",R,作,723
22570,振作,6,"light-verb -suru attached",sinsaku,prosperity,R,作,723
22714,農作,6,"general noun",noosaku,farming,R,作,723
22720,麦作,6,"general noun",mugisaku,"wheat raising",R,作,723
23191,単作,5,"light-verb -suru attached",tansaku,"single crop",R,作,723
23469,下作,4,"general noun",sitasaku,"poor manufacture",R,作,723
23475,家作,4,"general noun",kasaku,"making house",R,作,723
24015,満作,4,"general noun",mansaku,"witch hazel",R,作,723
24378,雑作,3,"general noun",zoosa,trouble,R,作,723
24489,上作,3,"general noun",zyoosaku,"good crop",R,作,723
24905,濫作,3,"light-verb -suru attached",ransaku,overproduction,R,作,723
25292,後作,2,"general noun",atosaku,"second crop",R,作,723
26271,夏作,1,"general noun",natusaku,"crops planted in summer",R,作,723
26502,偶作,1,"general noun",guusaku,"something accidentally accomplished",R,作,723
26578,減作,1,"general noun",gensaku,"poor crop",R,作,723
27062,拙作,1,"general noun",sessaku,"poor work",R,作,723
197,削減,42329,"light-verb -suru attached",sakugen,cut,L,削,724
2087,削除,4517,"light-verb -suru attached",sakuzyo,elimination,L,削,724
5039,掘削,1094,"light-verb -suru attached",kussaku,"digging out",R,削,724
7447,添削,475,"light-verb -suru attached",tensaku,correction,R,削,724
16496,開削,37,"light-verb -suru attached",kaisaku,excavation,R,削,724
17592,研削,27,"general noun",kensaku,grinding,R,削,724
18046,切削,24,"light-verb -suru attached",sessaku,cutting,R,削,724
15,昨年,138391,"possible to use as an adverb",sakunen,"last year",L,昨,725
1753,昨秋,5887,"possible to use as an adverb",sakusyuu,"autumn of last year",L,昨,725
3569,昨日,2038,"possible to use as an adverb",kinoo,yesterday,L,昨,725
3742,昨春,1875,"possible to use as an adverb",sakusyun,"last spring",L,昨,725
3939,昨今,1698,"possible to use as an adverb",sakkon,nowadays,L,昨,725
8259,昨夜,366,"possible to use as an adverb",sakuya,"last night",L,昨,725
9114,昨冬,283,"possible to use as an adverb",sakutoo,"last winter",L,昨,725
14463,昨晩,65,"possible to use as an adverb",sakuban,"last night",L,昨,725
14826,昨晩,59,"general noun",sakuban,"last night",L,昨,725
20059,昨夕,13,"possible to use as an adverb",sakuyuu,"yesterday evening",L,昨,725
20328,昨朝,12,"possible to use as an adverb",sakutyoo,"yesterday morning",L,昨,725
24376,昨週,3,"possible to use as an adverb",sakusyuu,"last week",L,昨,725
25367,昨暁,2,"general noun",sakugyoo,"early yesterday morning",L,昨,725
17509,鉄柵,28,"general noun",tessaku,"iron railing or fence",R,柵,726
9833,索引,230,"general noun",sakuin,index,L,索,727
19175,索漠,17,"general noun",sakubaku,dreary,L,索,727
21612,索道,8,"general noun",sakudoo,"overhead freight-carrying cable",L,索,727
24377,索敵,3,"general noun",sakuteki,"searching for the enemy",L,索,727
25368,索莫,2,"general noun",sakubaku,dreary,L,索,727
25369,索麺,2,"general noun",soomen,"fine white noodles",L,索,727
1054,捜索,11201,"light-verb -suru attached",soosaku,search,R,索,727
1646,模索,6315,"light-verb -suru attached",mosaku,groping,R,索,727
2322,検索,3918,"light-verb -suru attached",kensaku,"looking up",R,索,727
7591,思索,453,"light-verb -suru attached",sisaku,speculation,R,索,727
7611,探索,450,"light-verb -suru attached",tansaku,search,R,索,727
18372,詮索,22,"light-verb -suru attached",sensaku,"inquiry into",R,索,727
21682,脊索,8,"general noun",sekisaku,notochord,R,索,727
22278,摸索,7,"light-verb -suru attached",mosaku,groping,R,索,727
23646,鋼索,4,"general noun",koosaku,cable,R,索,727
1249,策定,8978,"light-verb -suru attached",sakutei,decision,L,策,728
10969,策略,168,"light-verb -suru attached",sakuryaku,scheme,L,策,728
13004,策動,97,"light-verb -suru attached",sakudoo,maneuverings,L,策,728
14077,策謀,72,"light-verb -suru attached",sakuboo,strategy,L,策,728
15362,策士,51,"general noun",sakusi,intriguer,L,策,728
26714,策戦,1,"general noun",sakusen,tactics,L,策,728
61,政策,80580,"general noun",seisaku,"political measures",R,策,728
72,対策,74068,"light-verb -suru attached",taisaku,measure,R,策,728
2159,施策,4305,"light-verb -suru attached",sisaku,policy,R,策,728
2816,失策,2946,"light-verb -suru attached",sissaku,blunder,R,策,728
3411,方策,2199,"general noun",hoosaku,plan,R,策,728
5175,国策,1043,"general noun",kokusaku,"national policy",R,策,728
5285,散策,996,"light-verb -suru attached",sansaku,walking,R,策,728
5708,得策,840,"general noun",tokusaku,"profitable plan",R,策,728
7052,画策,534,"light-verb -suru attached",kakusaku,plan,R,策,728
7732,無策,433,"general noun",musaku,"lacking means or measures or policies",R,策,728
8871,奇策,305,"general noun",kisaku,"clever scheme",R,策,728
8895,秘策,304,"general noun",hisaku,"secret plan or measures",R,策,728
13118,金策,94,"light-verb -suru attached",kinsaku,"raising money",R,策,728
13657,一策,81,"general noun",issaku,idea,R,策,728
13792,愚策,78,"general noun",gusaku,"inane plan",R,策,728
13875,万策,77,"general noun",bansaku,"all means",R,策,728
17876,術策,25,"general noun",zyussaku,artifice,R,策,728
19611,上策,15,"general noun",zyoosaku,"excellent plan",R,策,728
20211,良策,13,"general noun",ryoosaku,"good plan or policy",R,策,728
20294,献策,12,"light-verb -suru attached",kensaku,suggestion,R,策,728
20549,警策,11,"general noun",kyoosaku,"Zen stick",R,策,728
21503,下策,8,"general noun",gesaku,"poor plan",R,策,728
23342,妙策,5,"general noun",myoosaku,"clever scheme",R,策,728
26905,小策,1,"general noun",syoosaku,"petty trick",R,策,728
11350,酢酸,152,"general noun",sakusan,"acetic acid",L,酢,729
15524,酢豚,49,"general noun",subuta,"sweet-and-sour pork",L,酢,729
12184,甘酢,121,"general noun",amazu,"sweet vinegar",R,酢,729
12876,食酢,101,"general noun",syokuzu,vinegar,R,酢,729
16672,木酢,36,"general noun",mokusaku,"wood vinegar",R,酢,729
17062,梅酢,32,"general noun",umezu,"plum vinegar",R,酢,729
24542,生酢,3,"general noun",kizu,"unadulterated vinegar",R,酢,729
8686,搾取,323,"light-verb -suru attached",sakusyu,exploitation,L,搾,730
14019,搾乳,73,"light-verb -suru attached",sakunyuu,milking,L,搾,730
22041,搾油,7,"light-verb -suru attached",sakuyu,"oil expression",L,搾,730
20486,圧搾,11,"light-verb -suru attached",assaku,pressure,R,搾,730
5789,錯覚,817,"light-verb -suru attached",sakkaku,"optical illusion",L,錯,731
7116,錯誤,525,"light-verb -suru attached",sakugo,mistake,L,錯,731
10090,錯綜,214,"light-verb -suru attached",sakusoo,complication,L,錯,731
13455,錯乱,86,"light-verb -suru attached",sakuran,confusion,L,錯,731
19586,錯視,15,"light-verb -suru attached",sakusi,"optical illusion",L,錯,731
20061,錯体,13,"general noun",sakutai,complex,L,錯,731
26715,錯雑,1,"light-verb -suru attached",sakuzatu,complication,L,錯,731
3716,交錯,1900,"light-verb -suru attached",koosaku,mixture,R,錯,731
13817,倒錯,78,"light-verb -suru attached",toosaku,perversion,R,錯,731
19327,介錯,16,"light-verb -suru attached",kaisyaku,beheading,R,錯,731
4301,冊子,1441,"general noun",sassi,book,L,冊,733
9733,冊数,236,"general noun",sassuu,"number of books",L,冊,733
8630,別冊,329,"general noun",bessatu,"separate volume",R,冊,733
9068,短冊,287,"general noun",tanzaku,"long, narrow card on which Japanese poems are written ",R,冊,733
12084,分冊,125,"light-verb -suru attached",bunsatu,"separate volume",R,冊,733
19440,大冊,16,"general noun",taisatu,"large or bulky book or volume",R,冊,733
24187,各冊,3,"general noun",kakusatu,"each book",R,冊,733
25469,小冊,2,"general noun",syoosatu,pamphlet,R,冊,733
9569,札所,246,"general noun",hudasyo,"temple which issues amulets",L,札,734
10292,札束,202,"general noun",satutaba,"roll of banknotes",L,札,734
1206,入札,9480,"light-verb -suru attached",nyuusatu,bid,R,札,734
2400,落札,3736,"light-verb -suru attached",rakusatu,"having one's bid accepted",R,札,734
4868,改札,1162,"light-verb -suru attached",kaisatu,"examination of tickets",R,札,734
6106,偽札,733,"general noun",nisesatu,"counterfeit paper money",R,札,734
7910,応札,408,"general noun",oosatu,bid,R,札,734
9320,表札,266,"general noun",hyoosatu,nameplate,R,札,734
9998,名札,220,"general noun",nahuda,"name plate",R,札,734
12045,値札,126,"general noun",nehuda,"price tag",R,札,734
14338,花札,67,"general noun",hanahuda,hanafuda,R,札,734
14494,荷札,64,"general noun",nihuda,label,R,札,734
15972,鑑札,43,"general noun",kansatu,licence,R,札,734
16569,木札,37,"general noun",kihuda,"wooden tag",R,札,734
18445,開札,21,"light-verb -suru attached",kaisatu,"opening or unsealing of bids",R,札,734
18597,検札,20,"light-verb -suru attached",kensatu,"ticket check",R,札,734
19578,高札,15,"general noun",koosatu,"official bulletin board",R,札,734
20119,赤札,13,"general noun",akahuda,"goods sold",R,札,734
20524,贋札,11,"general noun",nisesatu,"counterfeit paper money",R,札,734
21486,一札,8,"general noun",issatu,document,R,札,734
21594,御札,8,"general noun",osatu,bill,R,札,734
22080,出札,7,"light-verb -suru attached",syussatu,"issuing tickets",R,札,734
22225,藩札,7,"general noun",hansatu,"currency issued by a feudal clan",R,札,734
22599,正札,6,"general noun",syoohuda,"price tag",R,札,734
22869,引札,5,"general noun",hikihuda,"announcement flier",R,札,734
23289,富札,5,"general noun",tomihuda,"lottery ticket",R,札,734
23381,立札,5,"general noun",tatehuda,"bulletin board",R,札,734
23924,納札,4,"light-verb -suru attached",noosatu,"votive card or tablet",R,札,734
24767,標札,3,"general noun",hyoosatu,nameplate,R,札,734
25543,制札,2,"general noun",seisatu,"roadside prohibition-edict boards",R,札,734
26033,利札,2,"general noun",rihuda,coupon,R,札,734
26806,質札,1,"general noun",sitihuda,"pawn ticket",R,札,734
27058,切札,1,"general noun",kirihuda,"trump card",R,札,734
2638,刷新,3233,"light-verb -suru attached",sassin,reform,L,刷,735
18972,刷毛,18,"general noun",hake,"paint brush",L,刷,735
2065,印刷,4598,"light-verb -suru attached",insatu,printing,R,刷,735
9048,増刷,289,"light-verb -suru attached",zoosatu,"additional printing",R,刷,735
14246,縮刷,69,"light-verb -suru attached",syukusatu,"pocket edition",R,刷,735
23111,色刷,5,"light-verb -suru attached",irozuri,"colour printing",R,刷,735
12854,刹那,102,"possible to use as an adverb",setuna,moment,L,刹,736
13573,名刹,84,"general noun",meisatu,"famous temple",R,刹,736
14960,古刹,57,"general noun",kosatu,"ancient temple",R,刹,736
22807,羅刹,6,"general noun",rasetu,,R,刹,736
8768,挨拶,315,"light-verb -suru attached",aisatu,greeting,R,拶,737
419,殺人,25860,"general noun",satuzin,murder,L,殺,738
448,殺害,24481,"light-verb -suru attached",satugai,killing,L,殺,738
2658,殺傷,3204,"light-verb -suru attached",sassyoo,"killing and wounding",L,殺,738
2726,殺到,3069,"light-verb -suru attached",sattoo,rush,L,殺,738
3967,殺意,1672,"general noun",satui,"intent to kill",L,殺,738
5022,殺虫,1104,"general noun",sattyuu,"killing insects or pests",L,殺,738
6228,殺菌,701,"light-verb -suru attached",sakkin,sterilization,L,殺,738
10759,殺陣,177,"general noun",satuzin,"sword battle",L,殺,738
11343,殺伐,152,"general noun",satubatu,bloodthirsty,L,殺,738
13288,殺生,90,"light-verb -suru attached",sessyoo,killing,L,殺,738
13323,殺伐,89,"adjectival noun, na-adjective",satubatu,bloodthirsty,L,殺,738
13748,殺戮,79,"light-verb -suru attached",saturiku,slaughter,L,殺,738
15820,殺気,45,"general noun",sakki,"thirst for blood",L,殺,738
697,自殺,16846,"light-verb -suru attached",zisatu,suicide,R,殺,738
2327,暗殺,3893,"light-verb -suru attached",ansatu,assassination,R,殺,738
2343,射殺,3866,"light-verb -suru attached",syasatu,"shooting to death",R,殺,738
2565,虐殺,3398,"light-verb -suru attached",gyakusatu,atrocity,R,殺,738
3126,併殺,2497,"general noun",heisatu,double-play,R,殺,738
3931,刺殺,1707,"light-verb -suru attached",sisatu,"stabbing to death",R,殺,738
6175,絞殺,715,"light-verb -suru attached",koosatu,strangulation,R,殺,738
6741,相殺,590,"light-verb -suru attached",soosai,"offsetting each other",R,殺,738
7806,他殺,423,"general noun",tasatu,murder,R,殺,738
8920,必殺,301,"general noun",hissatu,"bringing certain death",R,殺,738
9155,毒殺,280,"light-verb -suru attached",dokusatu,poisoning,R,殺,738
9286,銃殺,268,"light-verb -suru attached",zyuusatu,"death by shooting",R,殺,738
9401,封殺,259,"light-verb -suru attached",huusatu,suppression,R,殺,738
9576,抹殺,246,"light-verb -suru attached",massatu,erasure,R,殺,738
9869,惨殺,227,"light-verb -suru attached",zansatu,slaughter,R,殺,738
10197,黙殺,208,"light-verb -suru attached",mokusatu,ignoring,R,殺,738
10519,忙殺,190,"light-verb -suru attached",boosatu,"being extremely busy",R,殺,738
13278,薬殺,91,"light-verb -suru attached",yakusatu,poison,R,殺,738
13527,圧殺,84,"light-verb -suru attached",assatu,"crushing to death",R,殺,738
14219,補殺,70,"light-verb -suru attached",hosatu,"catching and killing",R,殺,738
14383,爆殺,67,"light-verb -suru attached",bakusatu,"killing with a bomb",R,殺,738
14437,謀殺,66,"light-verb -suru attached",boosatu,"premeditated murder",R,殺,738
14505,減殺,64,"light-verb -suru attached",gensai,lessening,R,殺,738
15001,撲殺,57,"light-verb -suru attached",bokusatu,"beat to death",R,殺,738
16137,殴殺,41,"light-verb -suru attached",oosatu,"beating to death",R,殺,738
18974,斬殺,18,"light-verb -suru attached",zansatu,"putting to the sword",R,殺,738
22187,屠殺,7,"light-verb -suru attached",tosatu,slaughter,R,殺,738
22212,悩殺,7,"light-verb -suru attached",noosatu,fascinate,R,殺,738
23505,活殺,4,"general noun",kassatu,"life or death",R,殺,738
23606,故殺,4,"general noun",kosatu,manslaughter,R,殺,738
24485,笑殺,3,"light-verb -suru attached",syoosatu,"laughing off",R,殺,738
25947,密殺,2,"light-verb -suru attached",missatu,"secret butchery",R,殺,738
26102,扼殺,2,"light-verb -suru attached",yakusatu,strangulation,R,殺,738
27932,誅殺,1,"light-verb -suru attached",tyuusatu,"execution of a criminal",R,殺,738
5886,察知,791,"light-verb -suru attached",satti,sense,L,察,739
353,警察,29534,"general noun",keisatu,police,R,察,739
812,検察,14587,"light-verb -suru attached",kensatu,examination,R,察,739
1260,査察,8922,"light-verb -suru attached",sasatu,inspection,R,察,739
1393,視察,7903,"light-verb -suru attached",sisatu,inspection,R,察,739
